Key,Original Sentence,Altered Sentence,Original Phonemes,Altered Phonemes,PER
1,My mom looks at a blue cup,My mom looks at a blue cub,maɪ mɑm lʊks æt ə blu kəp,maɪ mɑm lʊks æt ə blu kəb,0.14285714285714285
2,My mom likes a fun game,My mom likes a fun game,maɪ mɑm laɪks ə fən geɪm,maɪ mɑm laɪks ə fən geɪm,0.0
3,The boy saw a shop,The boy saw a sop,ðə bɔɪ sɔ ə ʃɑp,ðə bɔɪ sɔ ə sɑp,0.2
4,The boy jumps on a gift,The boy jumps on a giff,ðə bɔɪ ʤəmps ɔn ə gɪft,ðə bɔɪ ʤəmps ɔn ə gɪf,0.16666666666666666
5,The boy has the car,The boy has the cah,ðə bɔɪ həz ðə kɑr,ðə bɔɪ həz ðə cah,0.2
6,My mom jumps on a blue cup,My mom jumps on a blue cup,maɪ mɑm ʤəmps ɔn ə blu kəp,maɪ mɑm ʤəmps ɔn ə blu kəp,0.0
7,The boy jumps on a bath,The boy jumps on a bath,ðə bɔɪ ʤəmps ɔn ə bæθ,ðə bɔɪ ʤəmps ɔn ə bæθ,0.0
8,The cat saw a ship,The cat saw a sip,ðə kæt sɔ ə ʃɪp,ðə kæt sɔ ə sɪp,0.2
9,A dog saw the sun,A dog saw the sun,ə dɔg sɔ ðə sən,ə dɔg sɔ ðə sən,0.0
10,She eats a red hat,She eats a red had,ʃi its ə rɛd hæt,ʃi its ə rɛd hæd,0.2
11,Dad looks at the zoo,Dad looks at the zoo,dæd lʊks æt ðə zu,dæd lʊks æt ðə zu,0.0
12,I likes the sun,I likes the fun,aɪ laɪks ðə sən,aɪ laɪks ðə fən,0.25
13,The girl runs to a gift,The girl runs to a giff,ðə gərl rənz tɪ ə gɪft,ðə gərl rənz tɪ ə gɪf,0.16666666666666666
14,We jumps on a gift,We jumps on a gift,wi ʤəmps ɔn ə gɪft,wi ʤəmps ɔn ə gɪft,0.0
15,She looks at the sun,She looks at the sun,ʃi lʊks æt ðə sən,ʃi lʊks æt ðə sən,0.0
16,I runs to the sun,I runs to the sun,aɪ rənz tɪ ðə sən,aɪ rənz tɪ ðə sən,0.0
17,The cat likes the sun,The cat likes the sun,ðə kæt laɪks ðə sən,ðə kæt laɪks ðə sən,0.0
18,We eats the zoo,We eats the zoo,wi its ðə zu,wi its ðə zu,0.0
19,We likes a fun game,We likes a fun game,wi laɪks ə fən geɪm,wi laɪks ə fən geɪm,0.0
20,The boy likes a new pen,The boy likes a new pen,ðə bɔɪ laɪks ə nu pɛn,ðə bɔɪ laɪks ə nu pɛn,0.0
21,She has a book,She has a book,ʃi həz ə bʊk,ʃi həz ə bʊk,0.0
22,A dog has a new pen,A dog has a new pen,ə dɔg həz ə nu pɛn,ə dɔg həz ə nu pɛn,0.0
23,He eats a new pen,He eats a new pen,hi its ə nu pɛn,hi its ə nu pɛn,0.0
24,The girl looks at a new pen,The girl looks at a new pen,ðə gərl lʊks æt ə nu pɛn,ðə gərl lʊks æt ə nu pɛn,0.0
25,The girl looks at the sun,The girl looks at the sun,ðə gərl lʊks æt ðə sən,ðə gərl lʊks æt ðə sən,0.0
26,The cat jumps on a bath,The cat jumps on a bath,ðə kæt ʤəmps ɔn ə bæθ,ðə kæt ʤəmps ɔn ə bæθ,0.0
27,I found a green frog,I found a green frog,aɪ faʊnd ə grin frɑg,aɪ faʊnd ə grin frɑg,0.0
28,The girl carries a bath,The girl carries a bath,ðə gərl ˈkɛriz ə bæθ,ðə gərl ˈkɛriz ə bæθ,0.0
29,The cat has the car,The cap has the car,ðə kæt həz ðə kɑr,ðə kæp həz ðə kɑr,0.2
30,The girl eats the sun,The girl eats the sun,ðə gərl its ðə sən,ðə gərl its ðə sən,0.0
31,A dog looks at a red hat,A bog looks at a red hat,ə dɔg lʊks æt ə rɛd hæt,ə bɔg lʊks æt ə rɛd hæt,0.14285714285714285
32,The girl eats a fun game,The girl eats a fun game,ðə gərl its ə fən geɪm,ðə gərl its ə fən geɪm,0.0
33,A dog runs to a red hat,A dog runs to a red hat,ə dɔg rənz tɪ ə rɛd hæt,ə dɔg rənz tɪ ə rɛd hæt,0.0
34,He saw a ship,He saw a ship,hi sɔ ə ʃɪp,hi sɔ ə ʃɪp,0.0
35,A dog makes a shop,A bog makes a shop,ə dɔg meɪks ə ʃɑp,ə bɔg meɪks ə ʃɑp,0.2
36,A dog found a fun game,A bog found a fun game,ə dɔg faʊnd ə fən geɪm,ə bɔg faʊnd ə fən geɪm,0.16666666666666666
37,He makes the big rug,He makes the big bug,hi meɪks ðə bɪg rəg,hi meɪks ðə bɪg bəg,0.2
38,He jumps on the zoo,He jumps on the zoo,hi ʤəmps ɔn ðə zu,hi ʤəmps ɔn ðə zu,0.0
39,The boy saw the sun,The boy saw the fun,ðə bɔɪ sɔ ðə sən,ðə bɔɪ sɔ ðə fən,0.2
40,We jumps on the sun,We jumps on the sun,wi ʤəmps ɔn ðə sən,wi ʤəmps ɔn ðə sən,0.0
41,Dad eats a fun game,Dad eats a fun game,dæd its ə fən geɪm,dæd its ə fən geɪm,0.0
42,The boy saw the big rug,The boy saw the big rug,ðə bɔɪ sɔ ðə bɪg rəg,ðə bɔɪ sɔ ðə bɪg rəg,0.0
43,I carries the bag,I carries the bag,aɪ ˈkɛriz ðə bæg,aɪ ˈkɛriz ðə bæg,0.0
44,He has a blue cup,He has a blue cub,hi həz ə blu kəp,hi həz ə blu kəb,0.2
45,I makes a book,I makes a boop,aɪ meɪks ə bʊk,aɪ meɪks ə bup,0.25
46,She found a bath,She found a bath,ʃi faʊnd ə bæθ,ʃi faʊnd ə bæθ,0.0
47,Dad eats a red hat,Dad eats a red hat,dæd its ə rɛd hæt,dæd its ə rɛd hæt,0.0
48,The boy saw a bath,The boy saw a bat,ðə bɔɪ sɔ ə bæθ,ðə bɔɪ sɔ ə bæt,0.2
49,She carries a shop,She carries a sheap,ʃi ˈkɛriz ə ʃɑp,ʃi ˈkɛriz ə sheap,0.25
50,I looks at a book,I looks at a boop,aɪ lʊks æt ə bʊk,aɪ lʊks æt ə bup,0.2
51,I looks at a shop,I looks at a sop,aɪ lʊks æt ə ʃɑp,aɪ lʊks æt ə sɑp,0.2
